A,0.3500,-2,0,9.250000e-03,185
A,0.3500,-1,0,2.161000e-01,4322
A,0.3500,0,0,5.498000e-01,10996
A,0.3500,1,0,2.154000e-01,4308
A,0.3500,2,0,9.450000e-03,189
K,0.3500,0,0,0.574468,1
C,0.3500,0,0,2.001637,20000
C2,0.3500,0,0,1.471698,20000
B,0.3500,0,0,1.626416,200
B,0.3500,2,0,0.924000,200
B,0.3500,3,0,-1,0
D,0.3500,0,0.40,1.000000,2000
D,0.3500,2,0.40,0.900000,2000
D,0.3500,0,0.50,0.993500,2000
D,0.3500,2,0.50,0.899500,2000
D,0.3500,0,0.60,0.996500,2000
D,0.3500,2,0.60,0.898000,2000
D,0.3500,0,0.70,0.956500,2000
D,0.3500,2,0.70,0.896000,2000
D,0.3500,0,0.80,0.969000,2000
D,0.3500,2,0.80,0.897500,2000
D,0.3500,0,0.90,0.950000,2000
D,0.3500,2,0.90,0.896500,2000
D,0.3500,0,1.00,0.958500,2000
D,0.3500,2,1.00,0.897000,2000
A,0.3500,-2,0,9.250000e-03,185
A,0.3500,-1,0,2.161000e-01,4322
A,0.3500,0,0,5.498000e-01,10996
A,0.3500,1,0,2.154000e-01,4308
A,0.3500,2,0,9.450000e-03,189
K,0.3500,0,0,0.574468,1
C,0.3500,0,0,2.001637,20000
C2,0.3500,0,0,1.471698,20000
B,0.3500,0,0,1.626416,200
B,0.3500,2,0,0.924000,200
B,0.3500,3,0,-1,0
D,0.3500,0,0.40,1.000000,2000
D,0.3500,2,0.40,0.771000,2000
D,0.3500,0,0.50,1.000000,2000
D,0.3500,2,0.50,0.417000,2000
D,0.3500,0,0.60,0.980500,2000
D,0.3500,2,0.60,0.193500,2000
D,0.3500,0,0.70,0.827500,2000
D,0.3500,2,0.70,0.070500,2000
D,0.3500,0,0.80,0.672500,2000
D,0.3500,2,0.80,0.025500,2000
D,0.3500,0,0.90,0.558500,2000
D,0.3500,2,0.90,0.012000,2000
D,0.3500,0,1.00,0.555500,2000
D,0.3500,2,1.00,0.008000,2000
