A,0.0000,-3,0,5.000000e-05,1
A,0.0000,-2,0,9.750000e-03,195
A,0.0000,-1,0,2.153000e-01,4306
A,0.0000,0,0,5.493000e-01,10986
A,0.0000,1,0,2.162500e-01,4325
A,0.0000,2,0,9.350000e-03,187
K,0.0000,0,0,0.574512,1
C,0.0000,0,0,1.539440,20000
C2,0.0000,0,0,1.469818,20000
B,0.0000,0,0,1.684124,200
B,0.0000,2,0,0.976000,200
B,0.0000,3,0,0.521000,200
D,0.0000,0,0.40,-nan,0
D,0.0000,2,0.40,-nan,0
D,0.0000,0,0.50,-nan,0
D,0.0000,2,0.50,-nan,0
D,0.0000,0,0.60,-nan,0
D,0.0000,2,0.60,-nan,0
D,0.0000,0,0.70,-nan,0
D,0.0000,2,0.70,-nan,0
D,0.0000,0,0.80,-nan,0
D,0.0000,2,0.80,-nan,0
D,0.0000,0,0.90,-nan,0
D,0.0000,2,0.90,-nan,0
D,0.0000,0,1.00,-nan,0
D,0.0000,2,1.00,-nan,0
A,0.0000,-3,0,5.000000e-05,1
A,0.0000,-2,0,9.750000e-03,195
A,0.0000,-1,0,2.153000e-01,4306
A,0.0000,0,0,5.493000e-01,10986
A,0.0000,1,0,2.162500e-01,4325
A,0.0000,2,0,9.350000e-03,187
K,0.0000,0,0,0.574512,1
C,0.0000,0,0,1.539440,20000
C2,0.0000,0,0,1.469818,20000
B,0.0000,0,0,1.684124,200
B,0.0000,2,0,0.976000,200
B,0.0000,3,0,0.521000,200
D,0.0000,0,0.40,1.000000,2000
D,0.0000,2,0.40,0.916500,2000
D,0.0000,0,0.50,1.000000,2000
D,0.0000,2,0.50,0.911000,2000
D,0.0000,0,0.60,0.993500,2000
D,0.0000,2,0.60,0.909000,2000
D,0.0000,0,0.70,0.980500,2000
D,0.0000,2,0.70,0.899000,2000
D,0.0000,0,0.80,0.974000,2000
D,0.0000,2,0.80,0.898000,2000
D,0.0000,0,0.90,0.948000,2000
D,0.0000,2,0.90,0.899000,2000
D,0.0000,0,1.00,0.935000,2000
D,0.0000,2,1.00,0.897000,2000
A,0.0000,-3,0,5.000000e-05,1
A,0.0000,-2,0,9.750000e-03,195
A,0.0000,-1,0,2.153000e-01,4306
A,0.0000,0,0,5.493000e-01,10986
A,0.0000,1,0,2.162500e-01,4325
A,0.0000,2,0,9.350000e-03,187
K,0.0000,0,0,0.574512,1
C,0.0000,0,0,1.539440,20000
C2,0.0000,0,0,1.469818,20000
B,0.0000,0,0,1.684124,200
B,0.0000,2,0,0.976000,200
B,0.0000,3,0,0.521000,200
D,0.0000,0,0.40,1.000000,2000
D,0.0000,2,0.40,0.916500,2000
D,0.0000,0,0.50,1.000000,2000
D,0.0000,2,0.50,0.911000,2000
D,0.0000,0,0.60,0.993500,2000
D,0.0000,2,0.60,0.909000,2000
D,0.0000,0,0.70,0.980500,2000
D,0.0000,2,0.70,0.899000,2000
D,0.0000,0,0.80,0.974000,2000
D,0.0000,2,0.80,0.898000,2000
D,0.0000,0,0.90,0.948000,2000
D,0.0000,2,0.90,0.899000,2000
D,0.0000,0,1.00,0.935000,2000
D,0.0000,2,1.00,0.897000,2000
A,0.0000,-3,0,5.000000e-05,1
A,0.0000,-2,0,9.750000e-03,195
A,0.0000,-1,0,2.153000e-01,4306
A,0.0000,0,0,5.493000e-01,10986
A,0.0000,1,0,2.162500e-01,4325
A,0.0000,2,0,9.350000e-03,187
K,0.0000,0,0,0.574512,1
C,0.0000,0,0,1.539440,20000
C2,0.0000,0,0,1.469818,20000
B,0.0000,0,0,1.684124,200
B,0.0000,2,0,0.976000,200
B,0.0000,3,0,0.521000,200
D,0.0000,0,0.40,1.000000,2000
D,0.0000,2,0.40,0.866500,2000
D,0.0000,0,0.50,1.000000,2000
D,0.0000,2,0.50,0.514000,2000
D,0.0000,0,0.60,0.994000,2000
D,0.0000,2,0.60,0.229000,2000
D,0.0000,0,0.70,0.862500,2000
D,0.0000,2,0.70,0.091500,2000
D,0.0000,0,0.80,0.652000,2000
D,0.0000,2,0.80,0.030000,2000
D,0.0000,0,0.90,0.565000,2000
D,0.0000,2,0.90,0.012000,2000
D,0.0000,0,1.00,0.566500,2000
D,0.0000,2,1.00,0.011500,2000
